comp,off_equi,mix_enthalpy,config_entropy
Cr-Fe-Hf,{},0.1686157,9.47e-05
Cr-Fe-Mn,{},0.0477682,9.47e-05
Cr-Fe-Ta,{},0.0999404,9.47e-05
Cr-Fe-Ti,{},0.0329005,9.47e-05
Cr-Fe-V,{},-0.0045814,9.47e-05
Cr-Fe-W,{},0.160053,9.47e-05
Cr-Hf-Ta,{},0.2032466,9.47e-05
Cr-Hf-V,{},0.1606936,9.47e-05
Cr-Hf-W,{},0.2120537,9.47e-05
Cr-Mn-Ti,{},-0.0146944,9.47e-05
Cr-Mn-V,{},-0.1220106,9.47e-05
Cr-Ta-Ti,{},0.1256633,9.47e-05
Cr-Ta-V,"{'0.1111111111111111,0.2222222222222222,0.6666666666666666': 0.0290864, '0.1111111111111111,0.3333333333333333,0.5555555555555556': 0.0439165, '0.1111111111111111,0.5555555555555556,0.3333333333333333': 0.0547872, '0.2222222222222222,0.1111111111111111,0.6666666666666666': -0.0091934, '0.2222222222222222,0.3333333333333333,0.4444444444444444': 0.0366667, '0.2222222222222222,0.4444444444444444,0.3333333333333333': 0.0516765, '0.2222222222222222,0.6666666666666666,0.1111111111111111': 0.0747366, '0.3333333333333333,0.1111111111111111,0.5555555555555556': -0.0132336, '0.3333333333333333,0.2222222222222222,0.4444444444444444': 0.0160151, '0.3333333333333333,0.5555555555555556,0.1111111111111111': 0.085083, '0.4444444444444444,0.2222222222222222,0.3333333333333333': 0.0237267, '0.5555555555555556,0.1111111111111111,0.3333333333333333': 0.0010259, '0.5555555555555556,0.3333333333333333,0.1111111111111111': 0.074221, '0.6666666666666666,0.2222222222222222,0.1111111111111111': 0.0551509}",0.0534104,9.47e-05
Cr-Ta-W,"{'0.1111111111111111,0.2222222222222222,0.6666666666666666': 0.0112848, '0.1111111111111111,0.3333333333333333,0.5555555555555556': -0.0069656, '0.1111111111111111,0.5555555555555556,0.3333333333333333': -0.0241444, '0.2222222222222222,0.1111111111111111,0.6666666666666666': 0.0593086, '0.2222222222222222,0.3333333333333333,0.4444444444444444': 0.0222853, '0.2222222222222222,0.4444444444444444,0.3333333333333333': 0.0157992, '0.2222222222222222,0.6666666666666666,0.1111111111111111': 0.0443347, '0.3333333333333333,0.1111111111111111,0.5555555555555556': 0.0755428, '0.3333333333333333,0.2222222222222222,0.4444444444444444': 0.0558247, '0.3333333333333333,0.5555555555555556,0.1111111111111111': 0.0681963, '0.4444444444444444,0.2222222222222222,0.3333333333333333': 0.0666272, '0.5555555555555556,0.1111111111111111,0.3333333333333333': 0.0796498, '0.5555555555555556,0.3333333333333333,0.1111111111111111': 0.0819211, '0.6666666666666666,0.2222222222222222,0.1111111111111111': 0.0739226}",0.0690281,9.47e-05
Cr-Ti-V,{},0.0560362,9.47e-05
Cr-Ti-W,{},0.0939042,9.47e-05
Cr-V-W,"{'0.1111111111111111,0.2222222222222222,0.6666666666666666': 0.014837, '0.1111111111111111,0.3333333333333333,0.5555555555555556': -0.0087018, '0.1111111111111111,0.5555555555555556,0.3333333333333333': -0.0481095, '0.2222222222222222,0.1111111111111111,0.6666666666666666': 0.0591663, '0.2222222222222222,0.3333333333333333,0.4444444444444444': 0.0014565, '0.2222222222222222,0.4444444444444444,0.3333333333333333': -0.0245827, '0.2222222222222222,0.6666666666666666,0.1111111111111111': -0.0510957, '0.3333333333333333,0.1111111111111111,0.5555555555555556': 0.0700604, '0.3333333333333333,0.2222222222222222,0.4444444444444444': 0.0359684, '0.3333333333333333,0.5555555555555556,0.1111111111111111': -0.0431748, '0.4444444444444444,0.2222222222222222,0.3333333333333333': 0.0323621, '0.5555555555555556,0.1111111111111111,0.3333333333333333': 0.0607827, '0.5555555555555556,0.3333333333333333,0.1111111111111111': -0.0124126, '0.6666666666666666,0.2222222222222222,0.1111111111111111': 0.005431}",-0.0055086,9.47e-05
Fe-Hf-Ta,{},0.0812549,9.47e-05
Fe-Hf-V,{},0.0779528,9.47e-05
Fe-Hf-W,{},0.1503382,9.47e-05
Fe-Mn-Ti,{},-0.1047053,9.47e-05
Fe-Mn-V,{},-0.1034773,9.47e-05
Fe-Ta-Ti,{},-0.0113147,9.47e-05
Fe-Ta-V,{},0.0249765,9.47e-05
Fe-Ta-W,{},0.0616196,9.47e-05
Fe-Ti-V,{},-0.041691,9.47e-05
Fe-Ti-W,{},0.0172024,9.47e-05
Fe-V-W,{},0.0263337,9.47e-05
Hf-Ta-V,{},0.1488746,9.47e-05
Hf-Ta-W,{},0.0722433,9.47e-05
Hf-V-W,{},0.0989262,9.47e-05
Mn-Ti-V,{},-0.1292767,9.47e-05
Ta-Ti-V,{},0.0873627,9.47e-05
Ta-Ti-W,{},-0.0027606,9.47e-05
Ta-V-W,"{'0.1111111111111111,0.2222222222222222,0.6666666666666666': -0.0162233, '0.1111111111111111,0.3333333333333333,0.5555555555555556': -0.0249679, '0.1111111111111111,0.5555555555555556,0.3333333333333333': -0.0339353, '0.2222222222222222,0.1111111111111111,0.6666666666666666': -0.0216993, '0.2222222222222222,0.3333333333333333,0.4444444444444444': -0.0219045, '0.2222222222222222,0.4444444444444444,0.3333333333333333': -0.0183396, '0.2222222222222222,0.6666666666666666,0.1111111111111111': 0.0160593, '0.3333333333333333,0.1111111111111111,0.5555555555555556': -0.0340582, '0.3333333333333333,0.2222222222222222,0.4444444444444444': -0.026276, '0.3333333333333333,0.5555555555555556,0.1111111111111111': 0.0253141, '0.4444444444444444,0.2222222222222222,0.3333333333333333': -0.0264735, '0.5555555555555556,0.1111111111111111,0.3333333333333333': -0.0466508, '0.5555555555555556,0.3333333333333333,0.1111111111111111': 0.0156313, '0.6666666666666666,0.2222222222222222,0.1111111111111111': 0.0002458}",-0.0284003,9.47e-05
Ti-V-W,{},-0.0031518,9.47e-05
