Symbol,MeltingPoint
H,13.81
He,0.95
Li,453.65
Be,1560
B,2348
C,3823
N,63.15
O,54.36
F,53.53
Ne,24.56
Na,370.95
Mg,923
Al,933.437
Si,1687
P,317.3
S,388.36
Cl,171.65
Ar,83.8
K,336.53
Ca,1115
Sc,1814
Ti,1941
V,2183
Cr,2180
Mn,1519
Fe,1811
Co,1768
Ni,1728
Cu,1357.77
Zn,692.68
Ga,302.91
Ge,1211.4
As,1090
Se,493.65
Br,265.95
Kr,115.79
Rb,312.46
Sr,1050
Y,1795
Zr,2128
Nb,2750
Mo,2896
Tc,2430
Ru,2607
Rh,2237
Pd,1828.05
Ag,1234.93
Cd,594.22
In,429.75
Sn,505.08
Sb,903.78
Te,722.66
I,386.85
Xe,161.36
Cs,301.59
Ba,1000
La,1191
Ce,1071
Pr,1204
Nd,1294
Pm,1315
Sm,1347
Eu,1095
Gd,1586
Tb,1629
Dy,1685
Ho,1747
Er,1802
Tm,1818
Yb,1092
Lu,1936
Hf,2506
Ta,3290
W,3695
Re,3459
Os,3306
Ir,2719
Pt,2041.55
Au,1337.33
Hg,234.32
Tl,577
Pb,600.61
Bi,544.55
Po,527
At,575
Rn,202
Fr,300
Ra,973
Ac,1324
Th,2023
Pa,1845
U,1408
Np,917
Pu,913
Am,1449
Cm,1618
Bk,1323
Cf,1173
Es,1133
Fm,1800
Md,1100
No,1100
Lr,1900
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
Nh,
Fl,
Mc,
Lv,
Ts,
Og,